,address,areas,backyard,bathrooms,bedrooms,category,floor_if_condo,municipal,postalcode,price,year
104,"208-334 rue Notre-Dame Est, Ville-Marie (Centre-Ville et Vieux Mtl), QC",687 ft² (63.82 m²),South-East,1.5,1.0,Condominium,2.0,,H2Y 1C7,399000,2005
105,"503-11891 rue Lachapelle, Ahuntsic / Cartierville, QC",73.4 m² (790.07 ft²),,1.0,2.0,Condominium,4.0,216200.0,H4J 2M2,225000,2010
106,"214-4550 rue Hochelaga, Mercier / Hochelaga / Maisonneuve, QC",800 ft² (74.32 m²),East,1.0,2.0,Condominium,2.0,,H1V 1C5,315000,2012
107,"314A rue du Square-Saint-Louis, Le Plateau-Mont-Royal, QC",943 ft² (87.61 m²),South-East,1.0,2.0,Condominium,1.0,,H2X 1A5,369000,1885
108,"105-10150 place de l'Acadie, Ahuntsic / Cartierville, QC",851 ft² (79.06 m²),South-West,1.0,2.0,Condominium,1.0,,H4N 0C5,279000,2014
109,"#3-3774 rue Ontario Est, Mercier / Hochelaga / Maisonneuve, QC",785 ft² (72.93 m²),,1.0,2.0,Condominium,3.0,245000.0,H1W 1S2,285000,2008
110,"502-6715 boulevard Maurice-Duplessis, Montréal-Nord, QC",808 ft² (75.07 m²),,1.0,2.0,Condominium,5.0,212800.0,H1G 1Z5,224900,2012
111,"4489 rue Parthenais, Le Plateau-Mont-Royal, QC",885 ft² (82.22 m²),,1.0,3.0,Condominium,2.0,,H2H 2G6,379000,1910
112,"304-21 rue Sherbrooke Est, Le Plateau-Mont-Royal, QC",979.1 ft² (90.96 m²),North-West,1.5,3.0,Condominium,3.0,338500.0,H2X 3V8,414000,1985
113,"8178 avenue Casgrain, Villeray / St-Michel / Parc-Extension, QC",1 386 ft² (128.76 m²),South-West,1.5,3.0,Condominium,1.0,515000.0,H2P 2K5,614000,1926
114,"1434 rue Fullum, Ville-Marie (Centre-Ville et Vieux Mtl), QC",1 393 ft² (129.41 m²),South-West,1.5,3.0,Condominium,2.0,,H2K 3M1,429900,1860
115,"107-200 rue Berlioz, L'Ile Des Soeurs, QC",1 288 ft² (119.66 m²),North-East,2.0,2.0,Condominium,1.0,,H3E 1C1,458000,1984
116,"402-7415 rue Cléophée-Têtu, Mercier / Hochelaga / Maisonneuve, QC",912 ft² (84.73 m²),East,1.0,2.0,Condominium,4.0,242600.0,H1N 0B4,269000,2009
